text	code	weight
窗	aa	9990482
罗	ad	9995296
空	af	9997716
要	an	9999942
安	an	9998146
同	ah	9999710
最	be	9999822
量	bh	9998444
影	bi	9992544
照	bj	9996542
昆	bu	9982180
暖	bx	9996962
带	ca	9999508
草	cb	9997052
真	ce	9999284
博	ch	9982248
获	ck	9997874
花	cr	9998778
落	cs	9998122
芬	cv	9965354
胆	db	9987738
的	de	9999984
为	df	9999978
脑	di	9994226
然	dk	9995274
膝	dm	9984386
脸	dr	9998516
脚	dt	9997332
脂	du	9980394
教	en	9998716
拍	fb	9997128
报	fz	9998924
能	gd	9999880
理	gg	9997520
球	gh	9996920
略	gl	9996292
参	gn	9993974
界	gr	9997060
琪	gu	9918624
再	ha	9999802
求	hs	9997338
到	ht	9999960
望	id	9998674
亲	im	9998534
说	is	9999964
就	iw	9999976
钢	ja	9993324
锦	jb	9991804
感	jh	9996960
镜	ji	9990052
钻	jq	9992948
疆	jt	9973376
销	jw	9983564
骗	ka	9991022
养	kd	9994774
狗	kp	9995396
踪	la	9970218
得	lb	9999926
跨	ln	9993998
输	lr	9994130
刺	ma	9997620
模	mc	9986084
校	mi	9993778
格	ml	9995858
检	mr	9979750
妖	np	9993260
嗯	oa	9992568
喝	ob	9998426
呢	oe	9999574
嘀	oi	9943348
咦	on	9983120
哦	op	9995000
吃	oq	9999706
啊	ot	9999346
吵	ow	9986074
向	pa	9999854
我	pf	9999986
丢	pt	9994004
愣	qa	9990718
快	qf	9999354
但	rb	9999910
做	rc	9999786
使	rh	9999836
作	rq	9999560
你	rt	9999966
传	rv	9998532
学	sa	9999162
注	sd	9993930
冲	so	9998018
海	sq	9998336
冷	sr	9996580
法	st	9999402
消	sw	9990630
愿	tb	9997376
块	tf	9997478
后	th	9999918
城	tj	9999280
均	tp	9999308
管	ua	9998640
期	uc	9997444
缺	uf	9993258
笑	up	9999636
以	ur	9999928
等	ut	9999956
曾	va	9999580
前	vd	9999834
遂	vk	9995828
总	vo	9999418
尊	vu	9992408
普	vw	9988776
慈	vy	9980642
亏	vz	9990156
烧	wj	9996390
受	xa	9999512
段	xh	9999404
群	xp	9998160
线	yh	9997798
哀	yo	9980814
给	yr	9999846
结	yt	9995342
继	yu	9992884
纷	yv	9965676
经	yx	9999320
困	amk	9989232
闲	amm	9990318
因	ank	9999582
频	lle	9983562
您	rtq	9998936
料	uui	9993774
凹	vao	9979970
凸	vtu	9977446
刁	zhv	9931074
