文字	编码	拆分	分类	权重
過	EgOL	冎口辶	CJK	9746424
出	CU	屮凵	CJK	9999870
一	Hi	一	CJK	9999962
了	Le	了	CJK	10000000
大	Nr	大	CJK	9999938
中	OS	口丨	CJK	9999968
人	Rn	人	CJK	9999982
二	Ve	二	CJK	9999522
不	Ww	不	CJK	9999988
也	Ye	也	CJK	9999980
已	Zy	已	CJK	9999852
的	BaPkD	白勹丶	CJK	9999984
要	AxNv	覀女	CJK	9999942
是	BoL	日疋	CJK	9999998
在	FsTu	土	CJK	9999996
能	GsiDvUbiUbi	厶⺝匕	CJK	9999880
這	IiL	言辶	CJK	9760614
成	JpZ	戊	CJK	9999764
着	KyEmu	目	CJK	9999954
來	MuRnRn	木人人	CJK	9849468
我	PFsJge	丿扌	CJK	9999986
上	QbuHi	⺊一	CJK	9999972
次	SbEq	冫欠	CJK	9999188
地	TuYe	土也	CJK	9999946
和	UhO	禾口	CJK	9999994
爲	XzPZZZWu	爫丿ヿヿヿ灬	CJK	9927808
口	O.d	口	CJK	9999990
〇	O.l	口	符号和标点	9000981
說	IiVbORe	言八口儿	CJK	9439872
為	DPZZZWu	丶丿ヿヿヿ灬	CJK	9929768
羣	XjiPOKy	丿口羊	CJK	9910590
因	AkNr	囗大	CJK	9999582
困	AkMu	囗木	CJK	9989232
料	UiUdu	米斗	CJK	9993774
閑	AmMu	門木	CJK	9938538
牀	ApMu	爿木	CJK	9733710
右	FO	口	CJK	9998278
乍	QQ		CJK	9978426
乜	ZZ	乚	CJK	9896624
冇	FA	冂	CJK	9661674
弗	JgJ	弓	CJK	9982348
蒿	CIo	艹高	CJK	9980748
唬	OKhu	口虎	CJK	9981332
宕	ATo	宀石	CJK	9952494
芄	CPd	艹丸	CJK	9914488
芎	CJg	艹弓	CJK	9907532
芟	CJx	艹殳	CJK	9933230
癶	L.zd	癶	CJK	9328234
廴	L.z	廴	CJK	9891966
辶	L.d	辶	CJK	9862646
㐄	L.s	㐄	ExtA	9000005
夂	L.p	夂	CJK	9899452
辵	L.p	辶	CJK	9000528
疋	L.pi	疋	CJK	9903518
角	Ej.i	角	CJK	9995010
儿	Re.r	儿	CJK	9998998
皮	Ep.i	皮	CJK	9997624
瓦	Uw.a	瓦	CJK	9994638
攴	Xp.u	攵	CJK	9345158
禾	Uh.e	禾	CJK	9986672
麻	Ym.a	麻	CJK	9991062
乂	X.yi	乂	CJK	9820128
礻	Qs.i	示	CJK	9850652
气	Wq.i	气	CJK	9999176
丿	P.i.e	丿	CJK	9000735
毛	Em.a	毛	CJK	9997820
鬥	Ad.o	鬥	CJK	9304062
囟	Ex.in	囟	CJK	9917198
臼	Uj.iu	臼	CJK	9947094
耒	Ul.ei	耒	CJK	9862908
囗	Ak.v	囗	CJK	9361096
囪	Ac.v	囱	CJK	9949110
廾	Cg.v	廾	CJK	9813368
卵	El.v	卵	CJK	9989940
血	Ex.v	血	CJK	9997744
飞	Ef.v	飞	CJK	9998310
甴	Gy.v	由	CJK	9000001
匚	Hk.v	匚	CJK	9897502
弓	Jg.v	弓	CJK	9985758
黽	Km.v	黾	CJK	9000001
龍	Kl.v	龙	CJK	9000034
虫	Kc.v	虫	CJK	9994392
隹	Kz.v	隹	CJK	9893558
亍	Lci	彳	CJK	9949642
舟	Lz.v	舟	CJK	9985360
毌	Ng.v	毌	CJK	9712538
缶	Uf.v	缶	CJK	9920628
风	Wf.v	风	CJK	9998608
丰	Cf.v	丰	CJK	9982474
爪	Xz.v	爪	CJK	9988284
曰	Bo.v	曰	CJK	9998536
足	Lo.v	足	CJK	9998286
戊	Jp.v	戊	CJK	9945600
丸	Pd.v	丸	CJK	9983760
韭	Uh.v	韭	CJK	9900632
爿	Ap.v	爿	CJK	9940408
壬	Gr.v	壬	CJK	9948032
臣	Nc.v	臣	CJK	9996934
镸	Yc.v	镸	CJK	9000378
亥	Kh.v	亥	CJK	9951226
歹	Ed.v	歹	CJK	9925792
齊	Iq.v	齐	CJK	9000010
巾	Yj.v	巾	CJK	9979456
皿	Um.v	皿	CJK	9863106
髟	Eb.v	髟	CJK	9897722
糸	Ys.v	糸	CJK	9811454
舌	Eo.v	舌	CJK	9988226
廿	Ch.v	廿	CJK	9786508
殳	Jx.v	殳	CJK	9893986
羋	Ky.v	羊	CJK	9321978
鬯	Uu.vv	鬯	CJK	9857640
爻	Xx.vv	爻	CJK	9921156
	Xx.vv		私用区	1
⺽	Xx.vv	⺽	部首补充	9000001
𦥑	Xx.vv	⺽	ExtB	9000001
⽘	Xx.vv	爻	康熙部首	9000001
〷	XX.vv	乂乂	符号和标点	9000001
舛	Lv.v	舛	CJK	9925268
谷	Tv.v	谷	CJK	9994990
曱	Gs.v	甲	CJK	9000456
习	Ev.v	习	CJK	9987702
龠	Iv.vv	龠	CJK	9726908
衤	Yi.v	衤	CJK	9834110
穴	Av.v	穴	CJK	9994394
鬲	Uli.v	鬲	CJK	9898766
幺	Ya.ov	幺	CJK	9994682
冂	A	冂	CJK	9723368
宀	A	宀	CJK	9953792
冖	A	冖	CJK	9000001
	A	冂	私用区	1
	A	冂	私用区	1
𫡃	A	冂	ExtE	100
	A	冂	私用区	1
⺆	A	冂	部首补充	100
	A	冂	私用区	1
⼌	A	冂	康熙部首	100
⼍	A	冖	康熙部首	100
⼧	A	宀	康熙部首	100
ㄇ	A	冂	注音符号	100
窗	AvAc	穴囱	CJK	9990482
𠔽	AA	冂冂	ExtB	100
𠕄	AA	冂冂	ExtB	100
奰	AsAsAsNr	罒罒罒大	CJK	9000001
𨷾	AmAmAmAm	門門門門	ExtB	100
𢩕	AhuAhuAhu	戶戶戶	ExtB	100
𥥺	AvAhuAhu	戶戶	ExtB	100
𨷮	AmAmAm	門門門	ExtB	100
𥨲	AvApAsPkNv	爿罒勹女	ExtB	100
𦋹	AsAsAs	罒罒罒	ExtB	100
𥨎	AvAxBoCi	覀日十	ExtB	100
𥧍	AvApBoHi	穴爿日一	ExtB	100
㝱	AApCAsADxi	宀爿艹罒冖夕	ExtA	100
𡬌	AApCAsAEmu	宀爿卝罒冖目	ExtB	100
𡬒	AApCAsAEiMu	宀爿卝罒冖自木	ExtB	100
𡬙	AApCAsAGbJd	宀爿卝罒冖貝刂	ExtB	100
𡬑	AApCAsAHuO	宀爿卝罒冖五口	ExtB	100
𡫽	AApCAsANv	宀爿卝罒冖女	ExtB	100
𡬊	AApCAsAPNr	宀爿卝罒冖丿大	ExtB	100
𡬄	AApCAsASv	宀爿卝罒冖水	ExtB	100
𡬍	AApCAsAUi	宀爿卝罒冖米	ExtB	100
𡬇	AApCAsAWw	宀爿卝罒冖不	ExtB	100
𡬖	AApCAsAWuWu	宀爿卝罒冖火火	ExtB	100
𡬓	AApCAsAXjiAXy	宀爿卝罒冖冖又	ExtB	100
㝲	AApCAsAXjiAYj	宀爿卝罒冖彐冖巾	ExtA	100
